win,lose,probability
Cleveland Cavaliers,Detroit Pistons,0.82962591801424312
Dallas Mavericks,Memphis Grizzlies,0.69526632686004941
Toronto Raptors,Denver Nuggets,0.77102444374496981
Indiana Pacers,Phoenix Suns,0.8527973255357284
San Antonio Spurs,Los Angeles Lakers,0.93441558602706776
Portland Trail Blazers,New Orleans Pelicans,0.66953733644504676
Oklahoma City Thunder,Brooklyn Nets,0.94723122659714698
Los Angeles Clippers,Sacramento Kings,0.70714938867215138
Boston Celtics,Detroit Pistons,0.53412494213749317
Houston Rockets,Utah Jazz,0.60007676708229429
Los Angeles Clippers,Chicago Bulls,0.75236237755208357
Memphis Grizzlies,Minnesota Timberwolves,0.6222448820860681
Golden State Warriors,Milwaukee Bucks,0.91244085653309892
Charlotte Hornets,New Orleans Pelicans,0.71550699620590774
Dallas Mavericks,Orlando Magic,0.51042411055370818
Phoenix Suns,Philadelphia 76ers,0.60022967661816451
Miami Heat,Washington Wizards,0.5404330603846923
Portland Trail Blazers,Brooklyn Nets,0.79781878950557639
Utah Jazz,Denver Nuggets,0.58828611617610349
Chicago Bulls,Los Angeles Lakers,0.70570233141459116
Atlanta Hawks,New York Knicks,0.68979011203704821
Oklahoma City Thunder,Indiana Pacers,0.7512727404965025
Toronto Raptors,Sacramento Kings,0.74342591033864625
Charlotte Hornets,Memphis Grizzlies,0.76084879659172411
Detroit Pistons,Houston Rockets,0.57309118736845632
Golden State Warriors,Indiana Pacers,0.79787557345392268
Los Angeles Clippers,Toronto Raptors,0.52546109507283068
Orlando Magic,Milwaukee Bucks,0.50274972785496619
Boston Celtics,Minnesota Timberwolves,0.70145765392121517
Miami Heat,Philadelphia 76ers,0.89044847527836912
San Antonio Spurs,Dallas Mavericks,0.85547803092278751
Washington Wizards,Phoenix Suns,0.8215408442361869
Atlanta Hawks,New Orleans Pelicans,0.81663646462133721
Chicago Bulls,Denver Nuggets,0.5510182656924989
Oklahoma City Thunder,Los Angeles Lakers,0.9073789058985654
Portland Trail Blazers,New York Knicks,0.63368112920501596
Boston Celtics,Brooklyn Nets,0.82995010822702553
San Antonio Spurs,Charlotte Hornets,0.7103553031108224
Cleveland Cavaliers,Portland Trail Blazers,0.8043068768258389
Los Angeles Clippers,Dallas Mavericks,0.56823594728950388
Miami Heat,Detroit Pistons,0.52884917430667533
Golden State Warriors,Los Angeles Lakers,0.97487548957069248
Toronto Raptors,Houston Rockets,0.61098038021178946
Indiana Pacers,Atlanta Hawks,0.50201904609955805
